year,period_start,period_end,period_type,months_covered,people,boats,average_people_per_boat,average_formula,published_average_people_per_boat,published_average_source_ids,people_change_pct,boats_change_pct,occupancy_change_pct,change_basis,counts_classification,derived_classification,data_status,source_table,source_rows,source_id,source_publication_date,source_url,retrieved_at,review_status
2018,2018-01-01,2018-12-31,calendar_year,12,299,43,6.953488,people / boats,7,HO-2021-NARRATIVE;HO-2022-NARRATIVE;HO-2023-NARRATIVE;HO-2026Q2,,,,,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2018 arrivals; 2018 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2019,2019-01-01,2019-12-31,calendar_year,12,1843,164,11.237805,people / boats,11,HO-2021-NARRATIVE;HO-2022-NARRATIVE,516.387960,281.395349,61.613916,calendar 2019 vs calendar 2018,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2019 arrivals; 2019 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2020,2020-01-01,2020-12-31,calendar_year,12,8466,641,13.207488,people / boats,13,HO-2021-NARRATIVE;HO-2022-NARRATIVE;HO-2023-NARRATIVE,359.359740,290.853659,17.527297,calendar 2020 vs calendar 2019,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2020 arrivals; 2020 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2021,2021-01-01,2021-12-31,calendar_year,12,28526,1034,27.588008,people / boats,28,HO-2021-NARRATIVE;HO-2022-NARRATIVE;HO-2024-NARRATIVE,236.947791,61.310452,108.881561,calendar 2021 vs calendar 2020,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2021 arrivals; 2021 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2022,2022-01-01,2022-12-31,calendar_year,12,45774,1110,41.237838,people / boats,41,HO-2022-NARRATIVE;HO-2023-NARRATIVE;HO-2025;HO-2026Q1-NARRATIVE,60.464138,7.350097,49.477404,calendar 2022 vs calendar 2021,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2022 arrivals; 2022 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2023,2023-01-01,2023-12-31,calendar_year,12,29437,602,48.898671,people / boats,49,HO-2023-NARRATIVE;HO-2024-NARRATIVE,-35.690567,-45.765766,18.577194,calendar 2023 vs calendar 2022,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2023 arrivals; 2023 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2024,2024-01-01,2024-12-31,calendar_year,12,36816,695,52.972662,people / boats,53,HO-2024-NARRATIVE;HO-2025,25.067092,15.448505,8.331496,calendar 2024 vs calendar 2023,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2024 arrivals; 2024 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2025,2025-01-01,2025-12-31,calendar_year,12,41472,672,61.714286,people / boats,62,HO-2025,12.646675,-3.309353,16.502142,calendar 2025 vs calendar 2024,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2025 arrivals; 2025 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2026,2026-01-01,2026-06-30,calendar_year_to_date,6,11884,182,65.296703,people / boats,,,,,,,OFFICIAL_STATISTIC,DERIVED_STATISTIC,official_statistics_subject_to_revision,IER_02a,2026 arrivals; 2026 boats; Total column,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
