nationality,period,people,period_start,period_end,period_type,classification,source_table,note,source_id,source_publication_date,source_url,retrieved_at,review_status
Sudan,2022,1762,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Sudan,2023,1658,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Sudan,2024,2748,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Sudan,2025,4447,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Sudan,Year ending June 2025,3772,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Sudan,Year ending June 2026,4191,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2018,3,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2019,69,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2020,494,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2021,1437,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2022,9088,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2023,5511,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2024,6065,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,2025,4801,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,Year ending June 2025,6390,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Afghanistan,Year ending June 2026,4042,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
Somalia,2018,0,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02b,Latest recorded nationality at extraction; may be revised (IER_02b notes 12–15).,HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
