age_group,sex,period,people,period_start,period_end,period_type,classification,source_table,note,source_id,source_publication_date,source_url,retrieved_at,review_status
17 and under,Male,2024,4306,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,2025,4343,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,Year ending June 2025,4335,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Male,Year ending June 2026,3863,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2018,9,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2019,101,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2020,360,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2021,925,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2022,1671,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2023,938,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2024,1124,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,2025,1286,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,Year ending June 2025,1180,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Female,Year ending June 2026,1130,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2018,0,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2019,0,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2020,0,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2021,49,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2022,90,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2023,3,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2024,0,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,2025,0,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,Year ending June 2025,0,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
17 and under,Unknown,Year ending June 2026,0,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2018,41,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2019,288,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2020,1926,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2021,9579,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2022,15809,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2023,9833,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2024,12468,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,2025,12999,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,Year ending June 2025,14381,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,All,Year ending June 2026,10637,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2018,39,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2019,264,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2020,1785,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2021,9035,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2022,14774,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2023,9067,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2024,11252,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,2025,11226,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,Year ending June 2025,12870,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Male,Year ending June 2026,9101,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2018,2,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2019,24,2019-01-01,2019-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2020,141,2020-01-01,2020-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2021,533,2021-01-01,2021-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2022,970,2022-01-01,2022-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2023,756,2023-01-01,2023-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2024,1216,2024-01-01,2024-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,2025,1772,2025-01-01,2025-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,Year ending June 2025,1511,2024-07-01,2025-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Female,Year ending June 2026,1535,2025-07-01,2026-06-30,year_ending_june,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
18 to 24,Unknown,2018,0,2018-01-01,2018-12-31,calendar_year,OFFICIAL_STATISTIC,IER_02c,"Ages may be revised, e.g. after age assessment (IER_02c note 16).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
