arrival_year,period_start,period_end,period_basis,decision_cutoff,count_unit,small_boat_arrivals_matched,people_with_asylum_claim,people_without_asylum_claim,asylum_claim_share_pct,grant_of_protection,grant_of_other_leave,grants_total,refused,withdrawn,administrative_outcome,awaiting_initial_decision,substantive_initial_decisions,all_initial_outcomes,grant_rate_ho_definition_pct,grant_rate_ho_formula,grant_share_of_all_outcomes_pct,grant_share_of_all_outcomes_formula,decided_share_of_claims_pct,decided_share_formula,main_applicant_claims,main_applicant_grants,main_applicant_refused,main_applicant_withdrawn_or_admin,main_applicant_awaiting,main_applicant_grant_rate_ho_definition_pct,counts_classification,rates_classification,source_id,source_url,source_publication_date,table,locator,notes
2018,2018-01-01,2018-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,pre-2023 arrivals not revised in this release; extraction date not stated (note 24),people (main applicants and dependants),285,280,5,98.2456,145,0,145,129,5,1,0,274,280,52.9197,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),51.7857,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,97.8571,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),253,135,112,6,0,54.6559,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2019,2019-01-01,2019-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,pre-2023 arrivals not revised in this release; extraction date not stated (note 24),people (main applicants and dependants),1833,1813,20,98.9089,811,4,815,948,41,4,5,1763,1808,46.2280,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),45.0774,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,97.2421,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),1500,729,725,44,2,50.1376,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2020,2020-01-01,2020-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,pre-2023 arrivals not revised in this release; extraction date not stated (note 24),people (main applicants and dependants),8406,8276,130,98.4535,4160,6,4166,3458,405,176,71,7624,8205,54.6432,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),50.7739,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,92.1218,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),7247,3723,2967,539,18,55.6502,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2021,2021-01-01,2021-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,pre-2023 arrivals not revised in this release; extraction date not stated (note 24),people (main applicants and dependants),28023,25276,2747,90.1973,15817,55,15872,5082,3111,923,288,20954,24988,75.7469,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),63.5185,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,82.9008,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),23652,14922,4714,3861,155,75.9931,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2022,2022-01-01,2022-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,pre-2023 arrivals not revised in this release; extraction date not stated (note 24),people (main applicants and dependants),45478,41188,4290,90.5669,17012,166,17178,7093,9862,6266,789,24271,40399,70.7758,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),42.5209,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,58.9274,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),36592,15219,5566,15438,369,73.2211,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2023,2023-01-01,2023-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,decisions up to 15 July 2026 (note 24),people (main applicants and dependants),28200,27610,590,97.9078,10541,217,10758,10881,4272,1086,613,21639,26997,49.7158,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),39.8489,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,78.3738,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),24952,9586,9879,4944,543,49.2474,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2024,2024-01-01,2024-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,decisions up to 15 July 2026 (note 24),people (main applicants and dependants),35898,35276,622,98.2673,13483,249,13732,14784,4272,681,1807,28516,33469,48.1554,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),41.0290,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,80.8368,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),32063,12486,13378,4569,1630,48.2756,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2025,2025-01-01,2025-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,decisions up to 15 July 2026 (note 24),people (main applicants and dependants),40595,39952,643,98.4161,18435,308,18743,14016,2214,471,4508,32759,35444,57.2148,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),52.8806,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,81.9959,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),36549,17052,12889,2454,4154,56.9520,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
2018-2025,2018-01-01,2025-12-31,date of small-boat arrival (calendar year); claims made within 14 days of arrival; outcome = first (initial) decision as at extraction,mixed: 2018-2022 not revised in this release; 2023-2025 decisions up to 15 July 2026,people (main applicants and dependants),188718,179671,9047,95.2061,80404,1005,81409,56391,24182,9608,8081,137800,171590,59.0776,(grant_of_protection + grant_of_other_leave) / (grant_of_protection + grant_of_other_leave + refused); excludes withdrawn and administrative outcomes (Home Office definition),47.4439,grants_total / (grants_total + refused + withdrawn + administrative_outcome); NOT the Home Office grant rate,76.6957,substantive_initial_decisions / people_with_asylum_claim (Home Office 'received an initial decision (% of claims)' counts grants + refusals only),162808,73852,50230,31855,6871,59.5187,OFFICIAL_STATISTIC,DERIVED_STATISTIC,HO-IER-DETAILED-2026Q2,https://assets.publishing.service.gov.uk/media/6a85c41d3d82f78d5c514551/illegal-entry-routes-to-the-uk-dataset-jun-2026.xlsx,2026-08-27,IER_D02; IER_D03,"Data_IER_D02 (columns Year, Asylum claim, Applicant type, Arrivals) summed by Year; Data_IER_D03 (columns Year, Asylum Case Outcome Group, Applicant type, Outcomes) summed by Year and outcome group","Counts people not claims; arrival-date cohorts; outcomes may change on appeal or reconsideration; matched records only (note 23), so totals differ slightly from IER_02a arrivals; 2023-2025 revised in this release (note 22); deceased outcomes 2023 Q1-2025 Q4 revised (note 26)."
