arrival_year,total_arrivals_matched_table,asylum_claim_only,nrm_referral_only,asylum_claim_and_nrm_referral,no_asylum_claim_or_nrm_referral,people_with_asylum_claim,asylum_claim_share,asylum_claim_share_formula,ier_02a_people,counts_classification,derived_classification,source_table,note,source_id,source_publication_date,source_url,retrieved_at,review_status
2018,285,269,1,11,4,280,0.982456,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,299,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2019,1833,1641,0,172,20,1813,0.989089,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,1843,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2020,8406,6996,16,1280,114,8276,0.984535,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,8466,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2021,28023,22562,163,2714,2584,25276,0.901973,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,28526,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2022,45478,36046,507,5142,3783,41188,0.905669,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,45774,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2023,28200,24394,68,3216,522,27610,0.979078,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,29437,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2024,35898,29964,70,5312,552,35276,0.982673,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,36816,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
2025,40595,32023,103,7929,540,39952,0.984161,(asylum claim only + asylum claim and NRM referral) / total arrivals in IER_02d,41472,OFFICIAL_STATISTIC,DERIVED_STATISTIC,IER_02d,"People, not claims; by arrival date; claims within 14 days of arrival. Totals differ slightly from IER_02a because of extraction dates (IER_02d notes 17–20).",HO-TABLES-2026Q2,2026-08-27,https://assets.publishing.service.gov.uk/media/6a8c11c3a8f84a582b84281a/illegal-entry-routes-to-the-uk-summary-jun-2026-tables.ods,2026-09-11,source_checked_pending_independent_review
